example,label,explanation
My transfer keeps failing and I just want to transfer the money can you please make it work?,failed_transfer,"The output is correct because the customer's complaint is about their transfer failing. They mention that they just want to transfer the money and ask for assistance in making it work. This aligns with the category of ""failed_transfer"" as the customer is experiencing issues with their transfer. So, the answer is failed_transfer."
I have a payment listed in error.,card_payment_not_recognised,"The input ""I have a payment listed in error"" indicates that the customer is experiencing an issue with a payment that has been recorded incorrectly. This falls under the category of ""card_payment_not_recognised"" because the customer does not recognize or acknowledge the payment that has been made. The customer may have been charged for a transaction that they did not authorize or that they do not have any knowledge of. So, the answer is card_payment_not_recognised."
I have a 1 euro fee on my statement.,extra_charge_on_statement,"The input example mentions a fee on the customer's statement. This indicates that the customer is concerned about an additional charge appearing on their bank statement. The category ""extra_charge_on_statement"" specifically addresses such concerns. Therefore, based on the mention of a fee on the statement, the correct category for this input example is ""extra_charge_on_statement"". 

So, the answer is extra_charge_on_statement."
"I see random purchases to my account, was it hacked?",compromised_card,"The output is correct because the customer's complaint indicates that there are random purchases appearing on their account, which suggests that their card may have been compromised. This category, ""compromised_card,"" specifically addresses concerns related to unauthorized transactions or potential hacking incidents. So, the answer is compromised_card."
"I'm still waiting for delivery of my new card, why is it taking so long?",card_arrival,"The output is correct because the customer's query is related to the delivery of their new card. The customer is specifically asking why it is taking so long for the card to be delivered. This falls under the category of ""card_arrival"" as it pertains to the process and status of receiving a new card. So, the answer is card_arrival."
I'd rather not verify my identity.,why_verify_identity,"The input example states that the customer does not want to verify their identity. This indicates that the customer has a query or complaint related to the process of verifying their identity. The category ""why_verify_identity"" specifically addresses concerns or questions about the reasons behind the requirement to verify one's identity. Therefore, the output ""why_verify_identity"" is correct for this input example. So, the answer is why_verify_identity."
how do i get a card if i am in the usa,country_support,"The output is correct because the input query ""how do i get a card if i am in the usa"" is asking about the process of obtaining a card while being in the USA. This falls under the category of ""country_support"" as it pertains to the availability and support for banking services in a specific country. So, the answer is country_support."
My phone is not on me.  How can I use the app?,lost_or_stolen_phone,"The output ""lost_or_stolen_phone"" is correct for the given input example. 

In the input, the customer mentions that their phone is not with them. This indicates that they have lost or had their phone stolen. 

The category ""lost_or_stolen_phone"" specifically addresses issues related to lost or stolen phones and how it affects the customer's ability to use the bank's app. 

Therefore, based on the customer's statement, it can be concluded that the correct category for this input is ""lost_or_stolen_phone"". 

So, the answer is lost_or_stolen_phone."
How can I lookup where funds came from?,verify_source_of_funds,"The input ""How can I lookup where funds came from?"" indicates that the customer is seeking information on how to verify the source of funds. This falls under the category of ""verify_source_of_funds"" because the customer wants to ensure that the origin of the funds can be traced and verified. So, the answer is verify_source_of_funds."
"I found my card, I would like to reactivate it.",card_linking,"The output is correct because the customer's query indicates that they have found their card and want to reactivate it. This falls under the category of ""card_linking"" as it involves the process of linking or activating a card that was previously inactive or lost. So, the answer is card_linking."
My card is very close to expiring. When can I order a new one and how do I do so?,card_about_to_expire,"The input example mentions that the card is about to expire and the customer wants to know when they can order a new one and how to do so. This indicates that the customer is concerned about the expiration of their card and wants to take necessary actions. The category ""card_about_to_expire"" specifically addresses issues related to cards that are close to expiring and provides information on how to order a new card. Therefore, the output ""card_about_to_expire"" is correct for this input example.

So, the answer is card_about_to_expire."
I believe my card payment exchange rate is incorrect.,card_payment_wrong_exchange_rate,"The input example mentions a concern about the exchange rate for a card payment. This indicates that the customer is questioning the accuracy of the exchange rate used for their card payment. This falls under the category of ""card_payment_wrong_exchange_rate"" because the customer is specifically raising an issue related to the exchange rate used for their card payment. So, the answer is card_payment_wrong_exchange_rate."
"Please help me get a new card, I reside in the United States.",country_support,"The output is correct because the customer's query mentions that they reside in the United States and they need help getting a new card. This indicates that the customer is seeking support regarding the availability of card services in their country. Therefore, the query falls under the category of ""country_support"". So, the answer is country_support."
How do I interconvert between AUD and GBP?,exchange_via_app,"The output is correct because the customer's query is related to interconverting between two currencies, AUD and GBP. This falls under the category of ""exchange_via_app"" as the customer is seeking information on how to convert one currency to another using the bank's app. So, the answer is exchange_via_app."
What do I do if the ATM ate my card?,card_swallowed,"The input example ""What do I do if the ATM ate my card?"" falls under the category of ""card_swallowed"". This is because the customer is experiencing an issue where their card has been swallowed by the ATM. This category specifically addresses situations where customers have encountered problems with their cards being retained by ATMs. In this case, the customer is seeking guidance on what steps to take when their card is swallowed by an ATM. So, the answer is card_swallowed."
The app made a mistake and said I made a cash withdrawal.,cash_withdrawal_not_recognised,"The output is ""cash_withdrawal_not_recognised"" because the customer's complaint is about the app mistakenly stating that they made a cash withdrawal. This category specifically addresses situations where the customer claims that a cash withdrawal was not made or recognized by the bank. In this case, the customer is disputing the accuracy of the app's record of a cash withdrawal, indicating that it was a mistake. So, the answer is cash_withdrawal_not_recognised."
I want a card. What is the procedure?,order_physical_card,"The input query ""I want a card. What is the procedure?"" indicates that the customer is interested in obtaining a card. The mention of ""procedure"" suggests that the customer is seeking information on how to go about getting a card. This aligns with the category ""order_physical_card"" as it pertains to the process of requesting a physical card from the bank. Therefore, the output ""order_physical_card"" is correct for this input.

So, the answer is order_physical_card."
What do I do if I forget my passcode?  Because I did.,passcode_forgotten,"The input example mentions forgetting a passcode, which is a common issue faced by bank customers. This falls under the category of ""passcode_forgotten"" as it pertains to customers who have forgotten their passcode and need assistance in recovering or resetting it. So, the answer is passcode_forgotten."
Why do you require so many details about my identity?,why_verify_identity,"The input question is asking about the reason for requiring multiple details about the customer's identity. This indicates that the customer is questioning the need for providing personal information for verification purposes. This aligns with the category ""why_verify_identity"" as it involves inquiries or concerns regarding the requirement of verifying the customer's identity. So, the answer is why_verify_identity."
How do I enable contactless pay?,contactless_not_working,"The output is correct because the customer's query is related to contactless payment not working. The customer is asking how to enable contactless pay, which suggests that they are experiencing issues with contactless payment. Therefore, the correct category for this query is ""contactless_not_working"". So, the answer is contactless_not_working."
Tell me why my virtual disposable card won't work.,virtual_card_not_working,"The output is correct because the customer's complaint is related to their virtual disposable card not working. The customer specifically mentions that they want to know why their virtual disposable card won't work. This falls under the category of ""virtual_card_not_working"". So, the answer is virtual_card_not_working."
My disposable virtual card doesn't seem to work,virtual_card_not_working,"The input example mentions that the disposable virtual card is not working. This falls under the category of ""virtual_card_not_working"" as it specifically refers to issues related to virtual cards. The term ""disposable"" indicates that the card is meant for one-time use or limited duration. Therefore, if the card is not functioning as expected, it aligns with the category of ""virtual_card_not_working"". So, the answer is virtual_card_not_working."
I would like to delete my account please.,terminate_account,"The input example ""I would like to delete my account please"" indicates that the customer wants to terminate their account. The phrase ""delete my account"" suggests that the customer wants to permanently close their account. This aligns with the category ""terminate_account"" which refers to customers wanting to close their bank accounts. So, the answer is terminate_account."
Can you tell me what to do to reset my passcode?,passcode_forgotten,"The input example mentions the need to reset a passcode. This indicates that the customer has forgotten their passcode and is seeking assistance in resetting it. This falls under the category of ""passcode_forgotten"" as the customer is experiencing difficulty with their passcode and requires support to resolve the issue. So, the answer is passcode_forgotten."
Why was there a fee for my transfer?,transfer_fee_charged,"The input query ""Why was there a fee for my transfer?"" indicates that the customer is questioning the presence of a fee associated with their transfer. This falls under the category of ""transfer_fee_charged"" as the customer is specifically inquiring about the fee charged for their transfer. So, the answer is transfer_fee_charged."
Has my top up been reverted?,top_up_reverted,"The input query ""Has my top up been reverted?"" indicates that the customer is inquiring about the status of their top-up transaction. The term ""reverted"" suggests that the customer believes their top-up has been reversed or canceled.

The category ""top_up_reverted"" specifically addresses situations where a customer's top-up transaction has been reversed or canceled. This could occur due to various reasons such as technical issues, insufficient funds, or security concerns.

Based on the customer's query, it aligns with the ""top_up_reverted"" category as they are seeking information about the status of their top-up transaction. So, the answer is top_up_reverted."
app doesnt think its me,unable_to_verify_identity,"The input ""app doesn't think it's me"" suggests that the customer is facing an issue with the app's identity verification process. The phrase ""doesn't think it's me"" implies that the app is unable to verify the customer's identity. This falls under the category of ""unable_to_verify_identity"" as the customer is experiencing difficulties in proving their identity through the app. So, the answer is unable_to_verify_identity."
How do I deposit my paycheck to this account?,receiving_money,"The output ""receiving_money"" is correct for the given input example because the customer is asking about how to deposit their paycheck into their account. This falls under the category of ""receiving_money"" as it involves receiving funds into the bank account. So, the answer is receiving_money."
Can someone assist me with the details explaining which fiat currencies that you support?,fiat_currency_support,"The input example mentions the term ""fiat currencies"" and asks for assistance in understanding which ones are supported by the bank. This indicates that the customer is seeking information about the bank's support for different fiat currencies. The category ""fiat_currency_support"" specifically addresses queries related to the bank's support for different fiat currencies. Therefore, the output ""fiat_currency_support"" is correct for this input example.

So, the answer is fiat_currency_support."
I have completed a transfer but it is not showing up.,balance_not_updated_after_bank_transfer,"The output ""balance_not_updated_after_bank_transfer"" is correct for the given input example because the customer is reporting that they have completed a transfer but the balance in their account has not been updated to reflect the transfer. This indicates that there may be an issue with the bank's system or process for updating balances after a bank transfer. So, the answer is balance_not_updated_after_bank_transfer."
I want to know if there is a maximum I can top up.,top_up_limits,"The input example mentions a desire to know if there is a maximum limit for topping up. This falls under the category of ""top_up_limits"" because it pertains to the maximum amount that can be added to the account balance. The customer is specifically asking about the limit for topping up, which is a common query related to the maximum amount that can be added to the account. So, the answer is top_up_limits."
Why isn't my virtual card working?,virtual_card_not_working,"The input example ""Why isn't my virtual card working?"" indicates that the customer is experiencing an issue with their virtual card. The phrase ""virtual card not working"" directly corresponds to the category provided in the output. The customer's query aligns with the specific problem of their virtual card not functioning properly. Therefore, the correct category for this input example is ""virtual_card_not_working"". So, the answer is virtual_card_not_working."
My card payment was reverted.  Why?,reverted_card_payment?,"The input example states that the card payment was reverted. This means that the payment made using the card was reversed or canceled. The customer is asking why this happened. 

Based on the provided categories, ""reverted_card_payment?"" seems to be the most appropriate category for this input. It specifically addresses situations where a card payment has been reversed or canceled. 

So, the answer is ""reverted_card_payment?""."
What is the cause that the transfer shows as pending?,pending_transfer,"The input question is asking about the cause of a transfer showing as pending. This falls under the category of ""pending_transfer"" because it specifically refers to a transfer that has not been completed or processed yet. The term ""pending"" indicates that the transfer is still in progress and has not been finalized. Therefore, the correct category for this input is ""pending_transfer"". So, the answer is pending_transfer."
How old does one have to be to have an account with the bank?,age_limit,"The input question is asking about the age requirement for opening an account with the bank. This falls under the category of ""age_limit"" because it is related to the minimum age criteria set by the bank for individuals to be eligible for opening an account. So, the answer is age_limit."
What would the approximate delivery date be if I transferred something urgently to China?,transfer_timing,"The output is correct because the customer's query is related to the timing of a transfer. They are specifically asking about the approximate delivery date if they were to transfer something urgently to China. This falls under the category of ""transfer_timing"" as it pertains to the timing or duration of a transfer. So, the answer is transfer_timing."
"My entire gym bag, including my wallet, was stolen out of my locker today. Everything in my wallet is gone - how do I block the card to make it can't be used?",lost_or_stolen_card,"The output is correct because the customer's complaint indicates that their wallet, including their card, was stolen. They specifically mention wanting to block the card to prevent it from being used. This aligns with the category of ""lost_or_stolen_card"" as the customer is seeking assistance in dealing with a stolen card. So, the answer is lost_or_stolen_card."
Why didn't my balance update after my cash or checque deposit?,balance_not_updated_after_cheque_or_cash_deposit,"The input example mentions a situation where the balance did not update after a cash or cheque deposit. This aligns with the category ""balance_not_updated_after_cheque_or_cash_deposit"" as it specifically addresses issues related to balance updates after cash or cheque deposits. So, the answer is balance_not_updated_after_cheque_or_cash_deposit."
Why would i not be able to do a transfer to a beneficiary?,beneficiary_not_allowed,"The output is correct because the input example mentions a transfer to a beneficiary, and the question is why the transfer cannot be done. This falls under the category of ""beneficiary_not_allowed"" as it suggests that there may be restrictions or limitations on transferring funds to a specific beneficiary. So, the answer is beneficiary_not_allowed."
Does this card work everywhere?,card_acceptance,"The output is correct because the input query ""Does this card work everywhere?"" is related to the acceptance of the card. The customer is inquiring about the card's acceptance at various locations or establishments. This falls under the category of ""card_acceptance"" as it pertains to the card's usability and acceptance. So, the answer is card_acceptance."
Why did my transfer not go through?,failed_transfer,"The output is correct because the input example ""Why did my transfer not go through?"" indicates that the customer is experiencing an issue with a failed transfer. The customer is seeking an explanation for why their transfer did not go through, which aligns with the category ""failed_transfer"" in the task description. So, the answer is failed_transfer."
I cannot locate the card PIN.,get_physical_card,"The output is ""get_physical_card"" because the customer is unable to locate their card PIN. This suggests that they have received a physical card but are having trouble finding the PIN associated with it. Therefore, the appropriate category for this query is ""get_physical_card"" as the customer needs assistance in obtaining their card PIN. So, the answer is get_physical_card."
How long can an EU transfer take?,pending_transfer,"The input question ""How long can an EU transfer take?"" is asking about the duration or time frame for an EU transfer. This falls under the category of ""pending_transfer"" because the question is related to the status or progress of a transfer. The term ""pending"" suggests that the transfer is still in progress or has not been completed yet. Therefore, the output ""pending_transfer"" is correct for this input example.

So, the answer is pending_transfer."
"Hi, I'm buying a flat and I'm trying to get my mortgage to go though. Every time I check I simply get an error message. Is there any way you can help me get this money transferred over. Thanks!",failed_transfer,"The output ""failed_transfer"" is correct for the given input example because the customer is experiencing an error message every time they try to transfer money for their mortgage. This indicates that the transfer process is not successful and has failed. The customer is seeking assistance to resolve this issue and complete the transfer. Therefore, the complaint falls under the category of ""failed_transfer"". So, the answer is failed_transfer."
I just got this card & I don't know how to activate it.,activate_my_card,"The input example mentions that the person just received a card and does not know how to activate it. This indicates that the person is seeking assistance with activating their card. Therefore, the correct category for this input is ""activate_my_card"". So, the answer is activate_my_card."
"I would like to use the bank transfer feature, but I can't find it. Can you please give me the details?",transfer_into_account,"The output is correct because the customer's query indicates that they are looking for information about the bank transfer feature. They specifically mention that they cannot find it and request details. This aligns with the category ""transfer_into_account"" which refers to queries or complaints related to transferring money into the customer's account. So, the answer is transfer_into_account."
What do I do if I notice a strange withdrawl in my statement?,cash_withdrawal_not_recognised,"The output is correct because the input example mentions a ""strange withdrawal"" in the customer's statement. This indicates that the customer has noticed a withdrawal from their account that they do not recognize or did not authorize. This falls under the category of ""cash_withdrawal_not_recognised"" as it pertains to situations where customers have concerns about unauthorized or unrecognized cash withdrawals from their bank accounts. So, the answer is cash_withdrawal_not_recognised."
I sent my friend some money a few hours ago but she has not received it yet. She really needs it. How long does this take?,transfer_not_received_by_recipient,"The output ""transfer_not_received_by_recipient"" is correct for the given input example. 

In the input, the customer mentions that they sent money to their friend a few hours ago but their friend has not received it yet. This indicates that there is an issue with the transfer not being received by the intended recipient. 

The category ""transfer_not_received_by_recipient"" specifically addresses situations where a transfer has been made but the recipient has not received the funds. In this case, the customer's complaint aligns with this category as they are concerned about the delay in their friend receiving the money. 

So, the answer is ""transfer_not_received_by_recipient""."
I am experiencing difficulty providing my identity.,unable_to_verify_identity,"The input example mentions that the customer is experiencing difficulty providing their identity. This indicates that the customer is facing an issue related to the verification process. The category ""unable_to_verify_identity"" specifically addresses problems encountered while verifying one's identity. Therefore, based on the customer's complaint, the output ""unable_to_verify_identity"" is correct.

So, the answer is unable_to_verify_identity."
"I received my American Express card, but I am having problems making it work with Apple pay.  Can you help me with this problem?",apple_pay_or_google_pay,"The output is correct because the customer's complaint is related to using their American Express card with Apple Pay. They specifically mention having problems making it work with Apple Pay and ask for help with this problem. This falls under the category of ""apple_pay_or_google_pay"" as it involves issues with using a specific payment method (Apple Pay) with their card. So, the answer is apple_pay_or_google_pay."
can you check why I wasn't able to top up?,top_up_failed,"The output ""top_up_failed"" is correct because the customer's query indicates that they were not able to successfully top up their account. This suggests that there was an issue or error during the top-up process, resulting in the failure of the transaction. So, the answer is top_up_failed."
How can my friend send me money?,receiving_money,"The input question ""How can my friend send me money?"" is related to the category of ""receiving_money"" because it indicates that the person is seeking information on how to receive money from someone else. This category specifically deals with queries and complaints related to receiving money, such as instructions on how to receive funds, issues with not receiving money from a sender, or problems with the timing of receiving funds. In this case, the customer is inquiring about the process of receiving money, which aligns with the ""receiving_money"" category. So, the answer is receiving_money."
"Why does my transfer say ""pending""?",pending_transfer,"The output is correct because the input example mentions a transfer that is labeled as ""pending"". This indicates that the customer is inquiring about the status of their transfer, specifically why it is still in a pending state. The category ""pending_transfer"" accurately captures this query and addresses the customer's concern about the transfer not being completed yet. So, the answer is pending_transfer."
i have not received my card,card_arrival,"The input ""i have not received my card"" indicates that the customer is experiencing an issue related to the arrival of their card. This falls under the category of ""card_arrival"" because the customer is expecting to receive their card but has not received it yet. So, the answer is card_arrival."
I would prefer a visa card,visa_or_mastercard,"The input example ""I would prefer a visa card"" indicates that the customer is expressing a preference for a specific type of card, namely a visa card. This falls under the category of ""visa_or_mastercard"" as it pertains to the customer's choice between Visa and Mastercard. So, the answer is visa_or_mastercard."
Is there a way to reset my passcode?,passcode_forgotten,"The output is correct because the customer's query is related to resetting their passcode. This falls under the category of ""passcode_forgotten"" as the customer is seeking assistance in resetting their passcode. So, the answer is passcode_forgotten."
I made a purchase and it says it's pending. What does that mean?,pending_card_payment,"The output is correct because the customer's query is related to a pending card payment. The customer mentions making a purchase and seeing that it is pending. This indicates that the payment has not been processed yet and is awaiting approval or verification. Therefore, the query falls under the category of ""pending_card_payment"". So, the answer is pending_card_payment."
I was charged for something I didn't expect,transfer_fee_charged,"The input example states that the person was charged for something they didn't expect. This indicates that there was an unexpected fee charged to their account. The category ""transfer_fee_charged"" specifically addresses situations where customers are charged fees for transferring money. Since the input example mentions being charged for something unexpected, it aligns with the category ""transfer_fee_charged"". So, the answer is transfer_fee_charged."
There appears to have been a reversion in my top up,top_up_reverted,"The input example mentions a ""reversion"" in the top-up process. This suggests that there was a reversal or cancellation of a previously made top-up transaction. The category ""top_up_reverted"" specifically addresses situations where a top-up transaction is reversed or cancelled. Therefore, based on the mention of a reversion in the input, the correct category for this input example is ""top_up_reverted"". So, the answer is top_up_reverted."
"If the transfer details have already but reviewed and confirmed that they are correct, what other reason would cause my transfer to be declined?",declined_transfer,"The output is correct because the customer's query is related to a declined transfer. The customer states that they have already reviewed and confirmed the transfer details as correct, indicating that there is no issue with the information provided. Therefore, the customer is seeking to understand what other reasons could cause their transfer to be declined. This aligns with the category ""declined_transfer"" as it addresses concerns regarding transfers that have been declined despite the correct transfer details. So, the answer is declined_transfer."
I'd like to know why my top-up was canceled please.,top_up_reverted,"The output is correct because the customer's query is about a canceled top-up. The category ""top_up_reverted"" specifically refers to cases where a top-up transaction has been canceled or reversed. In this case, the customer is seeking information about why their top-up was canceled, which aligns with the ""top_up_reverted"" category. So, the answer is top_up_reverted."
My top-up has failed.,top_up_failed,"The input ""My top-up has failed"" indicates that the customer is experiencing an issue with their top-up transaction. This falls under the category of ""top_up_failed"" because the customer's attempt to add funds to their account was unsuccessful. The phrase ""top-up has failed"" clearly indicates that the customer's transaction did not go through as expected. Therefore, the correct category for this input is ""top_up_failed"". So, the answer is top_up_failed."
How long does a transfer take to be confirmed?,pending_transfer,"The output is correct because the customer's query is related to the time it takes for a transfer to be confirmed. This falls under the category of ""pending_transfer"" as the customer is inquiring about the status of a transfer that is currently pending and has not been confirmed yet. So, the answer is pending_transfer."
How do you get a virtual card?,getting_virtual_card,"The input question ""How do you get a virtual card?"" is asking about the process of obtaining a virtual card. This falls under the category of ""getting_virtual_card"" because the customer is inquiring about the steps or requirements for acquiring a virtual card. The output is correct because it accurately identifies the category that the input question belongs to. So, the answer is getting_virtual_card."
How do I top up my account with a cash payment?,top_up_by_cash_or_cheque,"The input example mentions ""top up"" and ""cash payment"". This indicates that the customer is looking for information on how to add funds to their account using cash. The category ""top_up_by_cash_or_cheque"" specifically addresses this type of query, as it covers both cash and cheque payments for topping up the account. Therefore, the output ""top_up_by_cash_or_cheque"" is correct for this input example. So, the answer is top_up_by_cash_or_cheque."
can i get a description of how to use a disposable virtual card,get_disposable_virtual_card,"The input query is asking for a description of how to use a disposable virtual card. This falls under the category of ""get_disposable_virtual_card"" because the customer is seeking information on how to obtain and use a disposable virtual card. So, the answer is get_disposable_virtual_card."
did not receive correct cash upon withdrawal,wrong_amount_of_cash_received,"The input example states that the user did not receive the correct amount of cash upon withdrawal. This falls under the category of ""wrong_amount_of_cash_received"" because it indicates an issue with the cash withdrawal process. The user expected to receive a specific amount of cash, but the actual amount received was different. So, the answer is wrong_amount_of_cash_received."
Help me cancel my transaction,cancel_transfer,"The input ""Help me cancel my transaction"" indicates that the customer is seeking assistance with canceling a transaction. This falls under the category of ""cancel_transfer"" because the customer wants to cancel a transfer that has already been initiated. The mention of ""cancel"" and ""transaction"" in the input aligns with the specific category of canceling a transfer, making it the correct classification for this input. So, the answer is cancel_transfer."
Can you please check if I was charged twice?,transaction_charged_twice,"The input mentions being charged twice for a transaction. This falls under the category of ""transaction_charged_twice"" as it indicates a situation where the customer believes they have been charged multiple times for a single transaction. So, the answer is transaction_charged_twice."
I attempted to get money using a foreign currency at an ATM but the rate was highly inaccurate!,wrong_exchange_rate_for_cash_withdrawal,"The input example mentions that the user attempted to get money using a foreign currency at an ATM but the rate was highly inaccurate. This indicates that the user is facing an issue related to the exchange rate provided by the ATM for cash withdrawal. The category ""wrong_exchange_rate_for_cash_withdrawal"" specifically addresses complaints or queries related to inaccurate exchange rates during cash withdrawals. Therefore, based on the provided input, the correct category for this example is ""wrong_exchange_rate_for_cash_withdrawal"". So, the answer is wrong_exchange_rate_for_cash_withdrawal."
Is it possible to deposit money in GBP?,receiving_money,"The output is correct because the customer's query is related to depositing money. Specifically, the customer is asking if it is possible to deposit money in GBP (British Pound). This falls under the category of ""receiving_money"" as it involves the process of depositing funds into the customer's account. So, the answer is receiving_money."
Is there a reason I was charged a fee for using my card as payment? I've never had an extra fee before.,card_payment_fee_charged,"The input example mentions being charged a fee for using the card as payment and expresses surprise as they have never had an extra fee before. This complaint/query falls under the category of ""card_payment_fee_charged"" because the customer is specifically questioning the reason for the fee charged on their card payment. The mention of never having had an extra fee before indicates that the customer is not familiar with this charge, which aligns with the category of ""card_payment_fee_charged"" where customers inquire about unexpected fees associated with card payments. So, the answer is ""card_payment_fee_charged""."
My account balance has not gone up even though I just transferred money into it,balance_not_updated_after_bank_transfer,"The output is correct because the customer's complaint is related to their account balance not being updated after a bank transfer. The customer states that they just transferred money into their account, but their balance has not increased. This aligns with the category ""balance_not_updated_after_bank_transfer"". So, the answer is balance_not_updated_after_bank_transfer."
How can I top up with this cheque I got?,top_up_by_cash_or_cheque,"The input query mentions ""top up"" and ""cheque"", indicating that the customer wants to know how to add funds to their account using a cheque. This falls under the category of ""top_up_by_cash_or_cheque"" as it involves adding funds to the account using a physical cheque. So, the answer is top_up_by_cash_or_cheque."
Are there restrictions for my disposable card since it does not seem to be working?,virtual_card_not_working,"The output is correct because the input example mentions that the disposable card is not working. This indicates an issue with the functionality or usability of the card. The category ""virtual_card_not_working"" specifically addresses problems related to virtual cards not functioning properly. Therefore, based on the input example, it can be concluded that the correct category for this query is ""virtual_card_not_working"". So, the answer is virtual_card_not_working."
My top-up was revoked.,top_up_reverted,"The input ""My top-up was revoked"" indicates that the user's top-up transaction was cancelled or reversed. This falls under the category of ""top_up_reverted"" because the user's attempt to add funds to their account was undone or invalidated. So, the answer is top_up_reverted."
Can I get one of your cards in the EU,country_support,"The input query ""Can I get one of your cards in the EU"" is asking about the availability of bank cards in the European Union (EU). This falls under the category of ""country_support"" because it is related to the bank's support for providing cards in a specific country or region. The mention of the EU indicates that the customer is specifically asking about card availability in that region. So, the answer is ""country_support""."
How do I select a Mastercard instead of a Visa?,visa_or_mastercard,"The input query mentions the desire to select a Mastercard instead of a Visa. This indicates that the customer is seeking information or assistance regarding the choice between these two types of cards. The category ""visa_or_mastercard"" specifically addresses queries related to the selection or comparison of Visa and Mastercard. Therefore, the output ""visa_or_mastercard"" is correct for this input example.

So, the answer is visa_or_mastercard."
Will you deal with SWIFT transfers?,top_up_by_bank_transfer_charge,"The output is correct because the customer's query is related to SWIFT transfers, which falls under the category of ""top_up_by_bank_transfer_charge"". This category specifically deals with any charges or fees associated with topping up the customer's account using a bank transfer. Since the customer is asking about SWIFT transfers, it implies that they are interested in using this method to top up their account, and therefore the appropriate category is ""top_up_by_bank_transfer_charge"". So, the answer is top_up_by_bank_transfer_charge."
In what countries do you do business?,country_support,"The output is correct because the input question is asking about the countries in which the bank does business. This falls under the category of ""country_support"" as it pertains to the bank's support for different countries in terms of providing services and conducting business operations. So, the answer is country_support."
"Is there a local ATM that will provide British pounds, I have no money for my homeward journey and do not feel comfortable waiting until  I arrive in Britain. Will a withdrawal involve extra charges?",wrong_exchange_rate_for_cash_withdrawal,"The output is ""wrong_exchange_rate_for_cash_withdrawal"" because the customer's query is related to withdrawing cash from an ATM and the concern is about extra charges. However, the category ""wrong_exchange_rate_for_cash_withdrawal"" suggests that the customer is specifically concerned about the exchange rate for cash withdrawal, which is not mentioned in the input example. Therefore, the output is incorrect for this task.

So, the answer is wrong_exchange_rate_for_cash_withdrawal."
I want to change my personal details.,edit_personal_details,"The input example ""I want to change my personal details"" indicates that the customer is seeking assistance with updating their personal information. This falls under the category of ""edit_personal_details"" as mentioned in the task description. The customer's request aligns with the specific category of support for modifying personal details, so the answer is edit_personal_details."
On my last transaction it seem that my top-up was not successful.,top_up_reverted,"The customer's complaint states that their last transaction, specifically their top-up, was not successful. This indicates that there was an issue with the top-up process. The category ""top_up_reverted"" is appropriate because it suggests that the top-up was initially processed but then reversed or cancelled for some reason. So, the answer is top_up_reverted."
There's a refund missing from my statement,Refund_not_showing_up,"The input ""There's a refund missing from my statement"" indicates that the customer is experiencing an issue related to a missing refund. This falls under the category of ""Refund_not_showing_up"" because the customer is specifically mentioning that a refund is not appearing on their statement. The category ""Refund_not_showing_up"" is relevant to situations where customers have not received the expected refund amount or the refund transaction is not reflecting in their bank statement. So, the answer is Refund_not_showing_up."
How do I go through the process of currency exchange?,exchange_via_app,"The input example mentions the process of currency exchange. This suggests that the customer is looking for information or assistance related to exchanging currencies. The category ""exchange_via_app"" specifically refers to the process of exchanging currencies through a mobile app. Since the input example mentions the word ""process"" and does not specify any other method of currency exchange, it is reasonable to classify it under the ""exchange_via_app"" category. So, the answer is exchange_via_app."
What should I do with my atm that got stuck?,card_swallowed,"The output is correct because the input example mentions an ATM that got stuck. This falls under the category of ""card_swallowed"" because when an ATM gets stuck, it usually means that the card inserted into the machine has been swallowed by the ATM and cannot be retrieved. So, the answer is card_swallowed."
I need to update my current address,edit_personal_details,"The input ""I need to update my current address"" indicates that the customer wants to make changes to their personal details, specifically their address. This falls under the category of ""edit_personal_details"" as it involves updating personal information. So, the answer is edit_personal_details."
do i have to setup apple pay to use it,apple_pay_or_google_pay,"The input query ""do i have to setup apple pay to use it"" is asking about the process of setting up Apple Pay. This falls under the category of ""apple_pay_or_google_pay"" because it is related to the setup and usage of mobile payment services like Apple Pay or Google Pay. The mention of ""apple pay"" in the query indicates that the user is specifically asking about Apple Pay. Therefore, the correct category for this input is ""apple_pay_or_google_pay"". So, the answer is apple_pay_or_google_pay."
Do you have to order a new card before your current card expires?,card_about_to_expire,"The output is correct because the input query is asking about the process of ordering a new card before the current card expires. This falls under the category of ""card_about_to_expire"" as it pertains to the expiration of a card and the need to order a new one. So, the answer is card_about_to_expire."
The app reverted my top off.,top_up_reverted,"The input example ""The app reverted my top off"" indicates that there was a reversal or cancellation of a top-up transaction made through the app. This aligns with the category ""top_up_reverted"" which refers to situations where a top-up transaction is reversed or cancelled. So, the answer is top_up_reverted."
Explain what the pending payment means?,pending_card_payment,"The output is correct because the input example is asking for an explanation of what ""pending payment"" means. ""Pending card payment"" is a specific category that refers to a situation where a payment made with a card is still in the process of being authorized or processed by the bank. It indicates that the payment has not yet been completed or finalized. So, the answer is pending_card_payment."
I'm pretty sure something went wrong with my exchange. I changed Russian Ruble to UK pounds and was charged way too much!,card_payment_wrong_exchange_rate,"The output is correct because the customer's complaint is related to an issue with the exchange rate during a card payment. The customer states that they changed Russian Ruble to UK pounds and were charged way too much, indicating that they believe the exchange rate used for the transaction was incorrect. This falls under the category of ""card_payment_wrong_exchange_rate"". So, the answer is card_payment_wrong_exchange_rate."
